Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.CommodityPriceIndices_M;DISCONTINUED - UNCTAD Commodity Price Index, January 1995 - June 2025, monthly (2015=100);US_CommodityPriceIndices_M;From 1995 to 2025;66229;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CommodityPriceIndices_M/US_CommodityPriceIndices_M
UNCTADstat - UNCTAD;US.CommodityPrice_A;DISCONTINUED - Commodity prices, 1995-2024, annual;US_CommodityPrice_A;From 1995 to 2025;9629;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CommodityPrice_A/US_CommodityPrice_A
UNCTADstat - UNCTAD;US.CommodityPrice_M;DISCONTINUED - Commodity prices, January 1995 - June 2025, monthly;US_CommodityPrice_M;From 1995 to 2025;84674;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CommodityPrice_M/US_CommodityPrice_M
UNCTADstat - UNCTAD;US.GovExpenditures;Government expenditures;US_GovExpenditures;The whole period;248075;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.GovExpenditures/US_GovExpenditures
UNCTADstat - UNCTAD;US.MerchantFleet;Merchant fleet: World fleet by flag of registration and ship type - Core indicators - Annual (analytical);US_MerchantFleet;From 1980 to 2026;938045;Procesado;273;1102;https://unctadstat-api.unctad.org/bulkdownload/US.MerchantFleet/US_MerchantFleet
UNCTADstat - UNCTAD;US.FleetBeneficialOwners;Merchant fleet: World fleet by beneficial ownership - Core indicators - Annual (analytical);US_FleetBeneficialOwners;From 2014 to 2026;412428;Procesado;299;897;https://unctadstat-api.unctad.org/bulkdownload/US.FleetBeneficialOwners/US_FleetBeneficialOwners
UNCTADstat - UNCTAD;US.VesselValueByRegistration;Merchant fleet: World fleet by flag of registration - Annual (analytical);US_VesselValueByRegistration;From 2019 to 2026;9782;Procesado;8;8;https://unctadstat-api.unctad.org/bulkdownload/US.VesselValueByRegistration/US_VesselValueByRegistration
UNCTADstat - UNCTAD;US.VesselValueByOwnership;Merchant fleet: World fleet by beneficial ownership - Annual (analytical);US_VesselValueByOwnership;From 2019 to 2026;9851;Procesado;8;8;https://unctadstat-api.unctad.org/bulkdownload/US.VesselValueByOwnership/US_VesselValueByOwnership
UNCTADstat - UNCTAD;US.ShipBuilding;Ship building: Merchant fleet built - Annual (analytical);US_ShipBuilding;From 2014 to 2025;11070;Procesado;2;4;https://unctadstat-api.unctad.org/bulkdownload/US.ShipBuilding/US_ShipBuilding
UNCTADstat - UNCTAD;US.ShipScrapping;Ship recycling: Merchant fleet recycled - Annual (analytical);US_ShipScrapping;From 2014 to 2025;8908;Procesado;5;10;https://unctadstat-api.unctad.org/bulkdownload/US.ShipScrapping/US_ShipScrapping
