date,year,month,month_name,index_value,monthly_variation_pct,unit,frequency,source,source_url,fetched_at
2009-10-01,2009,10,Octubre,158.0,1.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2009-11-01,2009,11,Noviembre,161.0,1.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2009-12-01,2009,12,Diciembre,163.7,1.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-01-01,2010,1,Enero,166.5,1.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-02-01,2010,2,Febrero,169.1,1.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-03-01,2010,3,Marzo,173.2,2.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-04-01,2010,4,Abril,182.2,5.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-05-01,2010,5,Mayo,187.0,2.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-06-01,2010,6,Junio,190.4,1.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-07-01,2010,7,Julio,193.1,1.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-08-01,2010,8,Agosto,196.2,1.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-09-01,2010,9,Septiembre,198.4,1.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-10-01,2010,10,Octubre,201.4,1.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-11-01,2010,11,Noviembre,204.5,1.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2010-12-01,2010,12,Diciembre,208.2,1.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-01-01,2011,1,Enero,213.9,2.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-02-01,2011,2,Febrero,217.6,1.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-03-01,2011,3,Marzo,220.7,1.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-04-01,2011,4,Abril,223.9,1.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-05-01,2011,5,Mayo,229.6,2.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-06-01,2011,6,Junio,235.3,2.5,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-07-01,2011,7,Julio,241.6,2.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-08-01,2011,8,Agosto,246.9,2.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-09-01,2011,9,Septiembre,250.9,1.6,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-10-01,2011,10,Octubre,255.5,1.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2011-11-01,2011,11,Noviembre,261.0,2.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
