Fuente;País;Frecuencia;Código indicador;Indicador;Tema;Base de datos;Dimensiones disponibles;Número de series;Número de registros;Primer periodo;Último periodo;Último periodo con dato;Último valor disponible;Última actualización OIT;Archivo datos comprimidos
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_OCU_EDU_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, ocupación y educación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, educación;706;5829;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_OCU_EST_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, ocupación y tamaño del establecimiento;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, tamaño del establecimiento;345;2679;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_OCU_INS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, ocupación y sector público/privado;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, sector público/privado;135;1343;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_OCU_MTS_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo, ocupación y estado civil;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación, estado civil;489;4548;2005;2017;2017;38.65;27/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_TEMP_SEX_OCU_NB;Promedio de horas efectivamente trabajadas por semana por persona ocupada según sexo y ocupación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, ocupación;45;450;2005;2017;2017;38.65;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_UEES_SEX_NB;Promedio de horas habitualmente trabajadas por semana por asalariado según sexo;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo;3;30;2005;2017;2017;39.92;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_UEMP_SEX_NB;Promedio de horas habitualmente trabajadas por semana por persona ocupada según sexo;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo;3;30;2005;2017;2017;38.99;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_AGE_EC2_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según edad y actividad económica - nivel 2 de la CIIU;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);edad, actividad económica - nivel 2 de la ciiu;150;1484;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_ECO_OCU_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según actividad económica y ocupación;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);actividad económica, ocupación;475;4418;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;HOW_XEES_SEX_AGE_ECO_NB;Promedio de horas efectivamente trabajadas por semana por asalariado según sexo, edad y actividad económica;Horas de trabajo;Estadísticas de Salarios y Tiempo de Trabajo (COND);sexo, edad, actividad económica;1084;10647;2005;2017;2017;39.63;30/08/2026 07:16:20;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
